training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 200, -2206.685712628891, 0, 0
2000, 204.76549100875854, 200, -9600.0, 0, 0
4000, 417.2272570133209, 200, -9600.0, 0, 0
6000, 635.3145880699158, 200, -1718.074222031706, 0, 0
8000, 859.3516330718994, 200, -145.90609950903982, 0, 0
10000, 1089.1032128334045, 19, -90.15449084183624, 1, 0
12000, 1326.226147890091, 200, -175.043547601348, 0, 0
14000, 1571.198954820633, 200, -140.3376760727662, 0, 0
16000, 1829.4578788280487, 200, -161.45189063574927, 0, 0
18000, 2101.1499257087708, 20, -90.99949317777171, 1, 0
20000, 2380.2738287448883, 17, -85.58472679774783, 1, 0
22000, 2667.875044822693, 200, -148.2681444575972, 0, 0
24000, 2960.9548559188843, 18, -94.6742695890924, 1, 0
26000, 3263.6346530914307, 200, -123.72066775226745, 0, 0
28000, 3573.29540681839, 200, -112.0142202814028, 0, 0
30000, 3889.847473859787, 18, -82.9217333391726, 1, 0
32000, 4214.636543750763, 200, -191.35918036044043, 0, 0
34000, 4546.308332681656, 19, -88.05110212922388, 1, 0
36000, 4885.435704708099, 19, -87.66462910086787, 1, 0
38000, 5231.50911283493, 200, -111.1922065511084, 0, 0
40000, 5583.729270935059, 19, -90.02399052197444, 1, 0
42000, 5942.719602823257, 200, -118.30726311698099, 0, 0
44000, 6307.470149755478, 19, -90.23774416561282, 1, 0
46000, 6679.844086885452, 200, -154.74806294873616, 0, 0
48000, 7057.870109081268, 200, -143.7016239489892, 0, 0
50000, 7442.307254314423, 18, -84.35733311304617, 1, 0
52000, 7832.826491355896, 18, -84.8757138271967, 1, 0
54000, 8230.59878540039, 18, -86.42095227315227, 1, 0
56000, 8634.523403406143, 18, -85.66086502564389, 1, 0
58000, 9045.064372301102, 18, -80.96368377606538, 1, 0
60000, 9461.833965301514, 18, -76.51324096374577, 1, 0
62000, 9886.606149196625, 17, -79.01790386794073, 1, 0
64000, 10317.202436208725, 17, -79.7405188083618, 1, 0
66000, 10754.5390021801, 17, -79.12376904942928, 1, 0
68000, 11198.744530916214, 17, -80.07753313791733, 1, 0
70000, 11648.507929801941, 18, -87.4537358842708, 1, 0
72000, 12101.218611717224, 17, -76.47488357998597, 1, 0
74000, 12544.00688290596, 17, -79.78483752322485, 1, 0
76000, 12993.17999792099, 200, -126.84221387177155, 0, 0
78000, 13448.55023097992, 17, -79.58662521610486, 1, 0
80000, 13922.331107854843, 18, -78.54036094439388, 1, 0
82000, 14428.181114912033, 18, -78.36841905289472, 1, 0
84000, 14940.672367811203, 200, -123.26745644196768, 0, 0
86000, 15461.465710878372, 200, -98.77897766019208, 0, 0
88000, 15989.069967985153, 200, -127.13725208611439, 0, 0
90000, 16523.730855941772, 18, -79.65931871689943, 1, 0
92000, 17056.723071813583, 200, -113.04596945942538, 0, 0
94000, 17564.136637687683, 22, -82.70453850635089, 1, 0
96000, 18077.364589452744, 200, -109.8793427502515, 0, 0
98000, 18598.420508146286, 200, -105.10303186219582, 0, 0
100000, 19165.17942214012, 200, -109.38441272682789, 0, 0
